Judul Berita,Link Berita,Link Gambar
VIDEO: Waspada Modus Baru Penipuan Online,https://www.cnnindonesia.com/tv/20221208234440-404-884961/video-waspada-modus-baru-penipuan-online,https://akcdn.detik.net.id/visual/2022/12/08/prime-news-2_169.jpeg?w=280&q=90
Studi Buktikan Kepemilikan Anjing Bisa Turunkan Tingkat Kejahatan,https://www.cnnindonesia.com/teknologi/20220711150840-199-820021/studi-buktikan-kepemilikan-anjing-bisa-turunkan-tingkat-kejahatan,https://akcdn.detik.net.id/visual/2022/01/18/anjing-bulldog-prancis-jadi-incaran-pencuri-di-as_169.jpeg?w=280&q=90
VIDEO: Pasutri Terlibat Kejahatan,https://www.cnnindonesia.com/tv/20220419172407-407-786770/video-pasutri-terlibat-kejahatan,https://akcdn.detik.net.id/visual/2022/04/19/suami-istri-terlibat-kejahatan_169.jpeg?w=280&q=90
VIDEO: Mengapa Ada Pemuka Agama yang Melakukan Kejahatan Seksual?,https://www.cnnindonesia.com/gaya-hidup/20220401153903-288-779051/video-mengapa-ada-pemuka-agama-yang-melakukan-kejahatan-seksual,https://akcdn.detik.net.id/visual/2022/04/05/thumbnail-video-7_169.jpeg?w=280&q=90
VIDEO: Karyawati Tewas Dibacok Pemotor,https://www.cnnindonesia.com/tv/20220322160010-405-774743/video-karyawati-tewas-dibacok-pemotor,https://akcdn.detik.net.id/visual/2022/03/22/karyawati-tewas-dibacok-pemotor_169.jpeg?w=280&q=90
"Marak Gangster, Kapolda Metro Bakal Datangi Lokasi Rawan Kejahatan",https://www.cnnindonesia.com/nasional/20220308141357-12-768274/marak-gangster-kapolda-metro-bakal-datangi-lokasi-rawan-kejahatan,https://akcdn.detik.net.id/visual/2021/11/30/pelatihan-patroli-perintis-presisi-polda-metro-jaya-1_169.jpeg?w=280&q=90
VIDEO: Aksi Kejahatan Terekam CCTV,https://www.cnnindonesia.com/tv/20220228103837-400-764888/video-aksi-kejahatan-terekam-cctv,https://akcdn.detik.net.id/visual/2022/02/28/kejahatan-terekam-cctv_169.jpeg?w=280&q=90
3 Cara Terhindar dari Kejahatan Modus Hipnotis,https://www.cnnindonesia.com/gaya-hidup/20220105115347-277-742795/3-cara-terhindar-dari-kejahatan-modus-hipnotis,https://akcdn.detik.net.id/visual/2015/11/12/d72319b6-2a5b-4c66-b729-13ecae6e2cad_169.jpg?w=280&q=90
VIDEO: Langkah Antisipasi Kejahatan Di Transportasi Daring,https://www.cnnindonesia.com/tv/20211223144204-405-737835/video-langkah-antisipasi-kejahatan-di-transportasi-daring,https://akcdn.detik.net.id/visual/2021/12/23/langkah-antisipasi-kejahatan-di-transportasi-daring_169.jpeg?w=280&q=90
Satgas Investasi Tegaskan Pinjol Ilegal adalah Kejahatan,https://www.cnnindonesia.com/ekonomi/20210903155508-78-689422/satgas-investasi-tegaskan-pinjol-ilegal-adalah-kejahatan,https://akcdn.detik.net.id/visual/2019/10/31/1f850844-5964-4465-8b18-0900ec3b7748_169.jpeg?w=280&q=90
VIDEO: Empat Kejahatan Yang Marak Selama Ramadan,https://www.cnnindonesia.com/tv/20210414104022-405-629696/video-empat-kejahatan-yang-marak-selama-ramadan,https://akcdn.detik.net.id/visual/2021/04/14/after-10-pkg-1_169.jpeg?w=280&q=90
Kriminolog: Tak Ada Korelasi Minuman Alkohol dengan Kejahatan,https://www.cnnindonesia.com/nasional/20201113200515-12-569633/kriminolog-tak-ada-korelasi-minuman-alkohol-dengan-kejahatan,https://akcdn.detik.net.id/visual/2019/02/06/f2696515-940d-45e7-945f-728e2b463135_169.jpeg?w=280&q=90
Polisi Cengkareng Ringkus Geng Motor Maju Kena Mundur Kena,https://www.cnnindonesia.com/nasional/20200805204430-12-532637/polisi-cengkareng-ringkus-geng-motor-maju-kena-mundur-kena,https://akcdn.detik.net.id/visual/2018/07/09/581badcd-a1c9-488b-a5b9-14a70f0eb064_169.jpeg?w=280&q=90
